video;frame;AU_m;AU_d;AU_diff
VID-20190313-WA0005;4;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;5;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;6;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;7;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;8;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;9;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;10;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;11;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;12;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;13;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;14;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;15;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;16;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;17;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;18;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;19;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;20;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;21;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;22;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;23;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;24;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;25;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;26;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;27;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;28;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;29;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;30;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;31;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;32;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;33;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;34;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;35;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;36;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;37;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;38;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;39;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;40;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;41;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;42;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;43;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;44;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;45;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;46;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;47;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;48;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;49;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;50;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;51;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;52;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;53;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;54;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;55;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;56;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;57;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;58;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;59;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;60;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;61;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;62;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;63;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;64;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;65;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;66;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;67;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;68;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;69;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;70;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;71;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;72;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;73;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;74;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;75;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;76;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;77;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;78;4+16+26;4+16+26;True
VID-20190313-WA0005;79;4+16+26;4+16+26;True
VID-20190313-WA0005;80;4+16+26;4+16+26;True
VID-20190313-WA0005;81;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;82;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;83;4+16+26;4+16+26;True
VID-20190313-WA0005;84;4+16+26;4+16+26;True
VID-20190313-WA0005;85;4+16+26;4+16+26;True
VID-20190313-WA0005;86;4+18+70+71;4+18+70+71;True
VID-20190313-WA0005;87;4+18+70+71;4+18+70+71;True
VID-20190313-WA0005;88;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;89;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;90;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;91;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;92;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;93;4+16+26;4+16+26;True
VID-20190313-WA0005;94;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;95;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;96;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;97;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;98;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;99;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;100;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;101;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;102;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;103;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;104;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;105;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;106;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;107;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;108;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;109;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;110;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;111;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;112;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;113;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;114;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;115;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;116;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;117;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;118;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;119;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;120;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;121;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;122;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;123;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;124;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;125;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;126;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;127;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;128;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;129;4+16+26;4+16+26;True
VID-20190313-WA0005;130;4+25+28;4+25+28;True
VID-20190313-WA0005;131;4+25+28;4+25+28;True
VID-20190313-WA0005;132;4+16+26;4+16+26;True
VID-20190313-WA0005;133;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;134;4+16+26;4+16+26;True
VID-20190313-WA0005;135;4+16+26;4+16+26;True
VID-20190313-WA0005;136;4+16+26;4+16+26;True
VID-20190313-WA0005;137;4+16+26;4+16+26;True
VID-20190313-WA0005;138;4+16+26;4+16+26;True
VID-20190313-WA0005;139;4+16+26;4+16+26;True
VID-20190313-WA0005;140;4+16+26;4+16+26;True
VID-20190313-WA0005;141;4+16+26;4+16+26;True
VID-20190313-WA0005;142;4+16+26;4+16+26;True
VID-20190313-WA0005;143;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;144;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;145;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;146;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;147;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;148;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;149;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;150;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;151;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;152;4+12+17+20;4+12+17+20;True
VID-20190313-WA0005;153;4+12+17+20;4+12+17+20;True
